source_id,title,authors,year,source_type,url,doi,date_accessed,relevance,status,notes
S1,Novel Technologies for Rapid Proof of Clean in Professional Environments,Innocentive / Diversey,2026,official challenge page,https://www.innocentive.com/challenges/novel-technologies-for-rapid-proof-of-clean-in-professional-environments/,,2026-09-20,"rules; requirements; exclusions; public IP and AI terms",VERIFIED_PUBLIC_PAGE,"Logged-in Challenge Agreement remains TO VERIFY"
S2,Technology Readiness Levels,NASA,,official guidance,https://www.nasa.gov/directorates/somd/space-communications-navigation-program/technology-readiness-levels/,,2026-09-20,TRL terminology,VERIFIED_PUBLIC_PAGE,"Does not certify this system"
S3,Structured-light modulation analysis technique for contamination and defect detection of specular surfaces and transparent objects,"Huang; Yue; Fang; Wang; Liu",2019,journal article,https://pubmed.ncbi.nlm.nih.gov/31878549/,10.1364/OE.27.037721,2026-09-20,closest structured-light contamination precedent,ABSTRACT_VERIFIED,"Reflection/transmission SMAT; simulations and experiments; modulation lower at contamination/defects"
S4,A Polarimetry-based Field-deployable Non-interruptive Mirror Soiling Detection Method,"Tian et al.",2025,preprint,https://arxiv.org/abs/2501.01643,,2026-09-20,polarization and large-area mirror soiling precedent,ABSTRACT_VERIFIED,"DoLP; Mie/Monte Carlo rationale; UAV field-deployment concept"
S5,Contamination evaluation method and related systems,"Dai Nippon Printing Co.",2008,patent publication,https://patents.google.com/patent/WO2008029946A1/en,,2026-09-20,reference-based reflectance and cleaning-recovery precedent,CLAIMS_DESCRIPTION_VERIFIED,"Spectral diffuse reflectance/color difference against uncontaminated reference and before/after cleaning"
S6,Improved mathematical models of structured-light modulation analysis technique for contaminant and defect detection,"Huang; Yue; Fang; Song; Liu",2020,preprint,https://arxiv.org/abs/2005.04026,,2026-09-20,topography modeling and perpendicular fringe fusion precedent,ABSTRACT_VERIFIED,"Mutually perpendicular sinusoidal directions merged to address incomplete information"
S7,A novel direct structured-light inspection technique for contaminant and defect detection,Yiyang Huang,2020,preprint,https://arxiv.org/abs/2006.12186,,2026-09-20,direct binary structured-light inspection precedent,ABSTRACT_VERIFIED,"Reflection for specular and transmission for transparent objects; direct distribution output"
S8,Deflectometry for specular surfaces: an overview,"Burke et al.",2023,review article,https://www.frontiersin.org/journals/advanced-optical-technologies/articles/10.3389/aot.2023.1237687/full,10.3389/aot.2023.1237687,2026-09-20,established fringe/deflectometry field and uncertainty limitations,ABSTRACT_AND_RELEVANT_SECTION_VERIFIED,"Contamination may be indistinguishable from unresolved defects; general uncertainty remains difficult"
S9,Contamination detection by optical measurements in a real-life environment: A hospital case study,"Mäkilä et al.",2019,journal article,https://pubmed.ncbi.nlm.nih.gov/31613045/,,2026-09-20,optical surface-cleanliness imaging precedent,ABSTRACT_VERIFIED,"Hyperspectral/visible-light hospital touch-surface study; excluded route below TRL6 for this challenge"
S10,Automated Quality Control of Cleaning Processes in Automotive Components Using Blob Analysis,"Mari et al.",2025,journal article,https://pubmed.ncbi.nlm.nih.gov/40363149/,10.3390/s25092710,2026-09-20,multi-angle and multi-wavelength residue inspection precedent,ABSTRACT_VERIFIED,"Natural and 850/940-nm light at multiple incidence angles; before/after wash"
S11,Optimized two-frequency phase-measuring-profilometry light-sensor temporal-noise sensitivity,"Li; Hassebrook; Guan",2003,journal article,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-20-1-106,10.1364/JOSAA.20.000106,2026-09-20,multi-frequency phase measurement precedent,ABSTRACT_VERIFIED,"Two-frequency phase measurement and temporal-noise tradeoff predate this project"
